Combination #,KSP Type,PC Mass,PC Interface,Converged,Krylov Iters,Construction Time (s),Solve Time (s),Total Time (s),Tic Toc Time (s),label
0,gmres,ilu,ilu,False,,,,,,gmres + ilu + ilu
1,gmres,lu,ilu,True,7.0,0.6119334697723389,0.056932687759399414,0.6688661575317383,4.770711660385132,gmres + lu + ilu
2,gmres,sor,ilu,False,,,,,,gmres + sor + ilu
3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu
4,gmres,bjacobi,ilu,False,,,,,,gmres + bjacobi + ilu
5,gmres,asm,ilu,False,,,,,,gmres + asm + ilu
6,gmres,gamg,ilu,True,117.0,0.10680532455444336,0.49431681632995605,0.6011221408843994,3.8330233097076416,gmres + gamg + ilu
7,gmres,ilu,lu,False,,,,,,gmres + ilu + lu
8,gmres,lu,lu,True,7.0,0.5596938133239746,0.03954195976257324,0.5992357730865479,4.434628486633301,gmres + lu + lu
9,gmres,sor,lu,False,,,,,,gmres + sor + lu
10,gmres,jacobi,lu,False,,,,,,gmres + jacobi + lu
11,gmres,bjacobi,lu,False,,,,,,gmres + bjacobi + lu
12,gmres,asm,lu,False,,,,,,gmres + asm + lu
13,gmres,gamg,lu,True,117.0,0.09718751907348633,0.4785752296447754,0.5757627487182617,4.010671854019165,gmres + gamg + lu
14,gmres,ilu,sor,False,,,,,,gmres + ilu + sor
15,gmres,lu,sor,True,7.0,0.6141209602355957,0.03731393814086914,0.6514348983764648,4.598043441772461,gmres + lu + sor
16,gmres,sor,sor,False,,,,,,gmres + sor + sor
17,gmres,jacobi,sor,False,,,,,,gmres + jacobi + sor
18,gmres,bjacobi,sor,False,,,,,,gmres + bjacobi + sor
19,gmres,asm,sor,False,,,,,,gmres + asm + sor
20,gmres,gamg,sor,True,118.0,0.1247565746307373,0.5132424831390381,0.6379990577697754,4.167371511459351,gmres + gamg + sor
21,bcgs,ilu,ilu,False,,,,,,bcgs + ilu + ilu
22,bcgs,lu,ilu,True,4.0,0.5043966770172119,0.039402008056640625,0.5437986850738525,4.492152690887451,bcgs + lu + ilu
23,bcgs,sor,ilu,False,,,,,,bcgs + sor + ilu
24,bcgs,jacobi,ilu,False,,,,,,bcgs + jacobi + ilu
25,bcgs,bjacobi,ilu,False,,,,,,bcgs + bjacobi + ilu
26,bcgs,asm,ilu,False,,,,,,bcgs + asm + ilu
27,bcgs,gamg,ilu,True,67.0,0.1068110466003418,0.419339656829834,0.5261507034301758,4.002157926559448,bcgs + gamg + ilu
28,bcgs,ilu,lu,False,,,,,,bcgs + ilu + lu
29,bcgs,lu,lu,True,4.0,0.6119804382324219,0.03771495819091797,0.6496953964233398,4.533915758132935,bcgs + lu + lu
30,bcgs,sor,lu,False,,,,,,bcgs + sor + lu
31,bcgs,jacobi,lu,False,,,,,,bcgs + jacobi + lu
32,bcgs,bjacobi,lu,False,,,,,,bcgs + bjacobi + lu
33,bcgs,asm,lu,False,,,,,,bcgs + asm + lu
34,bcgs,gamg,lu,True,68.0,0.10023999214172363,0.4208033084869385,0.5210433006286621,3.858405590057373,bcgs + gamg + lu
35,bcgs,ilu,sor,False,,,,,,bcgs + ilu + sor
36,bcgs,lu,sor,True,5.0,0.6234991550445557,0.0671083927154541,0.6906075477600098,4.945099353790283,bcgs + lu + sor
37,bcgs,sor,sor,False,,,,,,bcgs + sor + sor
38,bcgs,jacobi,sor,False,,,,,,bcgs + jacobi + sor
39,bcgs,bjacobi,sor,False,,,,,,bcgs + bjacobi + sor
40,bcgs,asm,sor,False,,,,,,bcgs + asm + sor
41,bcgs,gamg,sor,True,64.0,0.12672042846679688,0.4626941680908203,0.5894145965576172,4.104953289031982,bcgs + gamg + sor
42,tfqmr,ilu,ilu,False,,,,,,tfqmr + ilu + ilu
43,tfqmr,lu,ilu,True,8.0,0.571746826171875,0.05861401557922363,0.6303608417510986,4.501473426818848,tfqmr + lu + ilu
44,tfqmr,sor,ilu,False,,,,,,tfqmr + sor + ilu
45,tfqmr,jacobi,ilu,False,,,,,,tfqmr + jacobi + ilu
46,tfqmr,bjacobi,ilu,False,,,,,,tfqmr + bjacobi + ilu
47,tfqmr,asm,ilu,False,,,,,,tfqmr + asm + ilu
48,tfqmr,gamg,ilu,True,129.0,0.11237263679504395,0.41403770446777344,0.5264103412628174,3.9262919425964355,tfqmr + gamg + ilu
49,tfqmr,ilu,lu,False,,,,,,tfqmr + ilu + lu
50,tfqmr,lu,lu,True,8.0,0.5782909393310547,0.06902337074279785,0.6473143100738525,4.6601316928863525,tfqmr + lu + lu
51,tfqmr,sor,lu,False,,,,,,tfqmr + sor + lu
52,tfqmr,jacobi,lu,False,,,,,,tfqmr + jacobi + lu
53,tfqmr,bjacobi,lu,False,,,,,,tfqmr + bjacobi + lu
54,tfqmr,asm,lu,False,,,,,,tfqmr + asm + lu
55,tfqmr,gamg,lu,True,128.0,0.13218951225280762,0.49505019187927246,0.6272397041320801,4.2845234870910645,tfqmr + gamg + lu
56,tfqmr,ilu,sor,False,,,,,,tfqmr + ilu + sor
57,tfqmr,lu,sor,True,10.0,0.5077605247497559,0.06025052070617676,0.5680110454559326,4.572443008422852,tfqmr + lu + sor
58,tfqmr,sor,sor,False,,,,,,tfqmr + sor + sor
59,tfqmr,jacobi,sor,False,,,,,,tfqmr + jacobi + sor
60,tfqmr,bjacobi,sor,False,,,,,,tfqmr + bjacobi + sor
61,tfqmr,asm,sor,False,,,,,,tfqmr + asm + sor
62,tfqmr,gamg,sor,True,133.0,0.10763287544250488,0.39887166023254395,0.5065045356750488,3.901933193206787,tfqmr + gamg + sor
